Klinik name,klinik website,Stellenlink,Kontak,,,
Evangelische Lukas-Stiftung Altenburg,https://www.lukasstiftung-altenburg.de/, https://www.lukasstiftung-altenburg.de/karriere,"Chefarzt, Herr Dr. Christian Schäfer
christian.schaefer@lukasstiftung-altenburg.de       ",,,
Klinikum Altenburger Land,https://www.klinikum-altenburgerland.de/,Ärztlicher Dienst - Stellenangebote - Klinikum Altenburger Land (klinikum-altenburgerland.de),"Chefärztin der Klinik für Kinder- und Jugendmedizin und Neonatologie
Kerstin Ehrentraut
kerstin.ehrentraut@klinikum-altenburgerland.de
bewerbung@klinikum-altenburgerland.de Frau Kopitz a-chirurgie@klinikum-altenburgerland.de CA Dr. Voigt
bewerbung@klinikum-altenburgerland.de
Frau Kopitz Personalabteilung
sophie.kopitz@klinikum-altenburgerland.de      ",,,
Medizinische Versorgungszentren Altenburger Land,https://www.klinikum-altenburgerland.de/kkhabg/mvz/schmolln/fachbereiche,https://www.klinikum-altenburgerland.de/kkhabg/mvz/stellenangebote/mvz-stellenangebote.html,      ,,,
Robert- Koch- Krankenhaus Apolda,https://www.rkk-apolda.de/startseite,Robert-Koch-Krankenhaus Apolda: Offene Stellen (rkk-apolda.de),"Herr Pfeiffer Chefarzt Herr Marian Eulitz
m.eulitz@rkk-apolda.de
sek.paed@rkk-apolda.de
bewerbung@rkk-apolda.de Personalleiter
Herr Thomas Pfeiffer
t.pfeiffer@rkk-apolda.de
sek.gyn@rkk-apolda.de (Frau Dr. Belke CÄ Gyn.)  
Chefärztin Radiologie
Dr. med. Kathrin Barth
k.barth@rkk-apolda.de 
Personalleiter
Herr Thomas Pfeiffer
t.pfeiffer@rkk-apolda.de    ",,,
Marienstift Arnstadt,https://karriere.marienstift-arnstadt.de/, https://karriere.marienstift-arnstadt.de/stellenanzeigen#filter,"Sehr geehrter Herr Fischer,
vielen Dank für Ihre Mail. 
Bei unseren aktuellen Stellenangeboten benötigen wir derzeit keine Unterstützung
von Personaldienstleistern etc.
Wir werden aber Ihre Kontaktdaten speichern und uns bei Bedarf bei Ihnen melden. 
Danke für Ihr Verständnis.

Anne Brinck
Personalabteilung
Marienstift Arnstadt
a.brinck@ms-arn.de karriere@ms-arn.de      ",,,
Ilm- Kreis- Kliniken Arnstadt Ilmenau,https://www.ilm-kreis-kliniken.de/,https://www.ilm-kreis-kliniken.de/unsere-kliniken/karriere/,"Bewerbungen für Bereitschaftsdienst nur  mit Approbation
Infomail von Frau Fritzsch/Dr. Stein Herr Dr. med. Joachim Pausch
heide.fritzsch@ilm-kreis-kliniken.de
aed@ilm-kreis-kliniken.de
Bewerbung Chefarzt
detlev.stein@ilm-kreis-kliniken.de
Toralf.Wolkersdoerfer@ilm-kreis-kliniken.de. CA Allg-und Viszeralch. Herr Dr. med. Thomas Weihrauch
Chefarzt Orthopädie und Unfallchirurgie
thomas.weihrauch@ilm-kreis-kliniken.de
aed@ilm-kreis-kliniken.de Chefärztin
Frau Dr. med. Heike Schlegel-Höfner
intensivmedizin.arn@ilm-kreis-kliniken.de
Herr Dr. med. Joachim Pausch
heide.fritzsch@ilm-kreis-kliniken.de
aed@ilm-kreis-kliniken.de
Bewerbung"" Chefarzt Orthopädie und Unfallchirurgie
Herr Prof. Dr. Olaf Kilian

Chefarzt Wirbelsäulenchirurgie
Herr Ass. Prof. Dr. med. M. Shousha Frau MUDr. Sylvia Tresselt
Ärztliche Direktorin
aed@ilm-kreis-kliniken.de.",,,
Zentralklinik Bad Berka,https://www.zentralklinik.de/index.html, https://bewerberportal.rhoen-klinikum-ag.com/stellenangebote.html?sid=a773b013a04202dc6002592ccf9b3ec5,"Dr. Michael Weber Chefarzt 
michael.weber@zentralklinik.de
Herr Prof. Dr. Olaf Kilian
pne@zentralklinik.de 
Personalabteilung Leitungsebene Personal
Ramona Nolden
bewerbung@zentralklinik.de Herr Chefarzt Prof. Dr. Hörsch
dieter.hoersch@zentralklinik-bad-berka.de
Frau Chefärztin Dr.med. Kurze
ines.kurze@zentralklinik.de
bewerbung@zentralklinik.de Chefarzt der Klinik für Orthopädie und Unfallchirurgie
Herr Prof. Dr. Olaf Kilian
ouc@zentralklinik.de
Chefarzt Wirbelsäulenchirurgie
Herr Ass. Prof. Dr. med. M. Shousha
bewerbung@zentralklinik.de Chefarzt der Klinik für Herzchirurgie
Herr Dr. med. Thomas Kuntze
Sekretariat Yvonne Gaßmann
kac@zentralklinik.de
Personal Frau  Ramona Nolden
bewerbung@zentralklinik.de Betriebsarzt 
Herr Dr. med. Bencivinni
daniele.bencivinni@zentralklinik.de
bewerbung@zentralklinik.de   ",,,
Moritz Klinik Bad Klosterlausnitz,https://www.moritz-klinik.de/,https://www.ugos.de/karriere/karriere-in-der-ugos/karriere-in-der-moritz-klinik,"bewerbung@moritz-klinik.de Herr Göpel Chefarzt 
Dr. med. Hans Ziegenthaler
Brandverletzungen und Orthopädie/Traumatologie
brandverletzte@moritz-klinik.de
Personalmanagement
Kathrin Präger
kathrin.praeger@moritz-klinik.de      ",,,
Hufeland Klinikum Bad Langensalza (und Mühlhausen),https://www.hufeland.de/,Hufeland Klinikum: Ärztlicher Dienst,"Iveta Sturmova
kommissarische Chefärztin
medizin.mhl@hufeland.de
bewerbungen@hufeland.de Chetarzt Bad Salzungen Innere
Dr. med. Jan Hinrichs
Sekreteriat
medizin.lsz@hufeland.de
Chefarzt Mühlhausen Innere
Dr. med. Rainer Gerlach
Sekreteriat
medizin.mhl@hufeland.de
bewerbungen@hufeland.de Chefarzt und Facharzt für Anästhesiologie
Dr. med. Lutz Pfeiffer
Sekreteriat Katy Dauphin
medizin.mhl@hufeland.de 
Chefarzt und Facharzt für Anästhesiologie
Priv.-Doz. Dr. med. habil. Stefan Rußwurm
medizin.lsz@hufeland.de 
bewerbungen@hufeland.de Chefarzt Dr. Steffen Liebers
medizin.lsz@hufeland.de
Personalstelle
Frau  Marie Kleipetschus
marie.kleipetschus@hufeland.de
bewerbungen@hufeland.de Chefarzt Innere
Dr. med. Mirko Leonhardt
Sekretreiat
medizin.lsz@hufeland.de 
Frau  Marie Kleipetschus
marie.kleipetschus@hufeland.de
bewerbungen@hufeland.de  ",,,
Sophien- und Hufeland Klinikum Weimar,https://www.klinikum-weimar.de/,https://www.klinikum-weimar.de/beruf-karriere/beruf-karriere-uebersicht/weitere-informationen/stellenportal,"Herr PD Dr. med. habil. Wolfram Herbert Kluge
orthopaedie.mvz1@mvz-weimar.de
bewerbung@klinikum-weimar.de  Chefarzt Gynäkologie und Geburtshilfe
Herr Dr. med. J. Herrmann
j.herrmann@klinikum-weimar.de
bewerbung@klinikum-weimar.de Chefärzte Anästhesie und Intensivmedizin
Herr Dr. med. F. Schmidt
Herr Dr. med. C. Lascho
Sekreteriat Frau Christiane Wollschläger
c.wollschlaeger@klinikum-weimar.de
bewerbung@klinikum-weimar.de Chefarzt Psychosomatische Medizin/Psychotherapie
Herr Dr. T. Vieweg
psychosomatik@klinikum-weimar.de
bewerbung@klinikum-weimar.de Chefarzt Psychiatrie und Psychotherapie
Herr PD Dr. med. Thomas Jochum
T.Jochum@klinikum-weimar.de
psychiatrie@klinikum-weimar.de
bewerbung@klinikum-weimar.de avc@klinikum-weimar.de
Dr Mothes CA AllgVisz.Gefäßch. Chefarzt der Klinik für Innere Medizin III
Herr PD Dr. med. habil. S. Pscherer
innere3@klinikum-weimar.de
Personalleitung Frau Schubert
bewerbung@klinikum-weimar.de",,,
m&i- Fachklinik Bad Liebenstein,https://www.fachklinik-bad-liebenstein.de/,https://fkl-enzensberg.career.softgarden.de/,"bewerbung@fachklinik-bad-liebenstein.de
Frau Römhild Personal
nicolle.roemhild@fachklinik-bad-liebenstein.de kardiologie@fachklinik-bad-liebenstein.de
Dr. Rübsam Dr. med. Axel Gassen
Chefarzt Orthopädie/Unfallchirurgie
axel.gassen@fachklinik-bad-liebenstein.de
orthopaedie@fachklinik-bad-liebentein.de
bewerbung@fachklinik-bad-liebenstein.de    ",,,
Klinikum Bad Salzungen,https://www.klinikum-badsalzungen.de/,https://www.karriere-klinikum-badsalzungen.de/stellenangebote,"Bewerbung@klinikum-badsalzungen.de
Personalleiterin Steffi Gröbe-Kaupert
Herr Chefarzt Dr. med. Andreas Widera
andreas.widera@klinikum-badsalzungen.de Chefarzt Herr Dr. Scholz
Sandra Hartung
Sandra.Hartung@klinikum-badsalzungen.de Chefarzt Dr. med. Marcel Kunde
marcel.kunde@klinikum-badsalzungen.de
bewerbung@klinikum-badsalzungen.de Chefarzt Tino Beylich
tino.beylich@klinikum-badsalzungen.de
bewerbung@klinikum-badsalzungen.de   ",,,
MEDIAN Klinik Bad Tennstedt,https://www.median-kliniken.de/de/median-klinik-bad-tennstedt/,https://karriere.median-kliniken.de/de/standorte/details/median-klinik-bad-tennstedt,"Frau Braun
Chefärztin der Gastroenterologie
elisabeth.braun@median-kliniken.de
bewerbung@zentralklinik.de  dennie.halupka[at]median-kliniken.de Bewerbung     ",,,
HELIOS Klinik Blankenhain Postleitzahl 99444,https://www.helios-gesundheit.de/standorte-angebote/kliniken/blankenhain/,https://www.helios-gesundheit.de/karriere/job-finden/?tx_heliosuwstemplates_jobsearch%5Btitle%5D=arzt&tx_heliosuwstemplates_jobsearch%5Blocation%5D=blankenhain&tx_heliosuwstemplates_jobsearch%5Bcategory%5D=,"Helios Gotha
Ärztin Frau Anja Rabe
Anja.Rabe@helios-gesundheit.de
Gerd Pahnke
gerd.pahnke@helios-gesundheit.de Helios Erfurt
Prof. Dr. Axel Sauerbrey
axel.sauerbrey@helios-gesundheit.de
Gerd Pahnke
gerd.pahnke@helios-gesundheit.de Herrn Dr. med. Xaver Krah
Ärztlicher Direktor
xaver.krah@helios-gesundheit.de
Prof. Dr. med. Alexander Lauten
Chefarzt Innere Medizin
alexander.lauten@helios-gesundheit.de
Gerd Pahnke
gerd.pahnke@helios-gesundheit.de Prof. Thomas Mückley
Chefarzt der Klinik für Orthopädie und Unfallchirurgie
thomas.mueckley@helios-gesundheit.de
Herrn Mahmoud Otabashi
Stadortleiter, Oberarzt Orthopädie/Unfallchirurgie
mahmoud.otabashi@helios-gesundheit.de
Personal
Annerose Allner-Nebe
Annerose.Allner-Nebe@helios-gesundheit.de
Katrin Klaus (Nicht mehr im Unternehmen)
katrin.klaus@helios-kliniken.de Standortleiterin Anästhesie/ Intensivmedizin
Frau Dr. med. Alina Blümel
alina.bluemel@helios-gesundheit.de
Personal Annerose Allner-Nebe
Annerose.Allner-Nebe@helios-gesundheit.de CA Dr. Jörg Kluge
joerg.kluge2@helios-gesundheit.de ",,,
