Klinik name,klinik website,Stellenlink,Kontak
Klinikum Chemnitz,https://www.klinikumchemnitz.de/, https://karriere.skc.de/LC/5/2046671297/OBS/UebersichtBenutzerdefiniert?wss_1=esGrid_ObsUebersicht&wss_1_anzahl=10&wss_1_sort=desc---Stellenbeschreibung%20Ver%C3%B6ffentlichung%20extern%20ab&wss_1_ext-Stellenbeschreibung%20Berufsfeld=%C3%84rztlicher%20Dienst&wss_1_ext-BM_Unternehmen=Klinikum%20Chemnitz%20gGmbH,       
DRK-Krankenhaus Chemnitz-Rabenstein,https://rab.drk-khs.de/,https://drk-khs.de/job/?page=2,"Chefarzt der Klinik für Anästhesie und Intensivmedizin
Dr. med. Christopher Uhlig
Uhlig.christopher@drk-khs.de
anaesthesie.li@drk-khs.de
bewerbung.rab@drk-khs.de Chefärztin Kinder- und Jugendmedizin
Dipl.-Med. Monika Hofmann
hofmann.monika@drk-khs.de
kinderklinik.rab@drk-khs.de
bewerbung.rab@drk-khs.de Chefarzt Unfallchirurgie und Orthopädie
Dr. med. Ulrich Lindenberg
unfallchirurgie.li@drk-khs.de
bewerbung.rab@drk-khs.de Chefarzt Anästhesie und Intensivmedizin
Dr. med. Frank Fröhlich
anaesthesie.rab@drk-khs.de
bewerbung.rab@drk-khs.de    "
DRK Krankenhaus Lichtenstein,https://li.drk-khs.de/,https://drk-khs.de/job/?page=2,"Dipl.-Med. Monika Hofmann
hofmann.monika@drk-khs.de
bewerbung.rab@drk-khs.de Initiativ bewerben
bewerbung.li@drk-khs.de
bewerbung.rab@drk-khs.de Chefarzt Dr. med. Robert Schwabe
innereklinik.li@drk-khs.de
bewerbung.rab@drk-khs.de     "
Zeisigwaldkliniken Bethanien Chemnitz,https://www.bethanien-chemnitz.de/home,https://www.amd-karriere.de/einstieg/aerztlicher-dienst/assistenzaerzte,"Personalwesen Frau Bangel
Leanne.Bangel@ediacon.de
inneremedizin@bethanien-sachsen.de Personalwesen Frau Nieher
sabrina.nieher@ediacon.de
Frau Nieher momentan nicht im Dienst-
Vertretung Frau Leanne Bangel 
leanne.bangel@ediacon.de
Chefarzt Dr. med. A. Ohse
inneremedizin@bethanien-sachsen.de Chefarzt Herrn Dr. med. Hagen Rudolph
hagen.rudolph@ediacon.de
CA Allgemein- und Viszeralchirurgie
Vertretung Frau Leanne Bangel 
leanne.bangel@ediacon.de Chefarzt Dr. Albrecht Ohse 
albrecht.ohse@ediacon.de
Elvira Giesow Sekretariat Innere Medizin 
inneremedizin@bethanien-sachsen.de       
Frau Nieher momentan nicht im Dienst-
Vertretung Frau Leanne Bangel 
leanne.bangel@ediacon.de    "
Agaplesion Chemnitz,https://www.agaplesion-bethanien-chemnitz.de/,https://www.amd-karriere.de/jobs,       
Fachkrankenhaus Bethanien Hochweitzschen,https://www.bethanien-hochweitzschen.de/,Jobs für Assistenzärzte (m/w/d) (amd-karriere.de),hagen.rudolph@ediacon.de CA Allg.u.Gefäßch.       
Krankenhaus Bethanien Plauen,https://www.bethanien-plauen.de/,https://www.amd-karriere.de/einstieg/aerztlicher-dienst/assistenzaerzte,"Personalwesen Frau Bangel
Leanne.Bangel@ediacon.de
inneremedizin@bethanien-sachsen.de       "
Erzgebirgsklinikum gGmbH - Haus Annaberg,https://www.erzgebirgsklinikum.de/,Ärztlicher Dienst | Erzgebirgsklinikum,"Chefarzt Kinder- und Jugendmedizin
Dr. med. Ulf Meyer
ulf.meyer@erzgebirgsklinikum.de
bewerbung@erzgebirgsklinikum.de n.frost@erzgebirgsklinikum.de Personalstelle Chefärztin Dr. med. Elke Möbius
Sekretari
kim2.stl@erzgebirgsklinikum.de     "
Erzgebirgsklinikum gGmbH - Haus Zschopau,Ärztlicher Dienst | Erzgebirgsklinikum,Ärztlicher Dienst | Erzgebirgsklinikum,       
Erzgebirgsklinikum gGmbH - Haus Stollberg,Ärztlicher Dienst | Erzgebirgsklinikum,Ärztlicher Dienst | Erzgebirgsklinikum,"Dr. med. Glänzel
Chefarzt der Klinik für Innere Medizin I
 kim1.stl@erzgebirgsklinikum.de
Personalleitung Sachgebietsleitung Personalentwick
Frau Janette Nowack
janette.nowack@erzgebirgsklinikum.de       "
Erzgebirgsklinikum gGmbH - Haus Olbernhau,Ärztlicher Dienst | Erzgebirgsklinikum,https://www.erzgebirgsklinikum.de/ausbildung-karriere/stellenangebote/aerztlicher-dienst/#c4168,"Dr. med. Wallroth
Chefarzt  Orthopädie und Unfallchirurgie
karsten.wallroth@erzgebirgsklinikum.de
Personalabteilung
bewerbung@erzgebirgsklinikum.de Dr. med. Ulf Meyer
Chefarzt Kinder- und Jugendmedizin
ulf.meyer@erzgebirgsklinikum.de
Personalabteilung
bewerbung@erzgebirgsklinikum.de Herr Dr. med Volkmar Hempel
Chefarzt für Innere Medizin
kim.zp@erzgebirgsklinikum.de
Personalabteilung
bewerbung@erzgebirgsklinikum.de     "
Kliniken Erlabrunn,https://www.erlabrunn.de/,https://www.erlabrunn.de/karriere-und-ausbildung/stellenangebote,"Herr Dr. med. Ulf Degenkolb 
Chefarztsekretariat 
Kristin Koß
orthopaedie@erlabrunn.de
personal@erlabrunn.de Herr Dr. med. Martin Roth
m.roth@erlabrunn.de
intensivmedizin@erlabrunn.de
personal@erlabrunn.de Chefarzt Psychosomatische Medizin und Psychotherapie
Herr MUDr. Michal Smalo
m.smalo@erlabrunn.de
Chefarztsekretariat Rita Melcher
chirurgie@erlabrunn.de
Personalleiterin Frau Katja Rummrich 
k.rummrich@erlabrunn.de     "
Kreiskrankenhaus Freiberg,https://www.kkh-freiberg.com/karriere/stellenangebote/,https://www.kkh-freiberg.com/karriere/stellenangebote/,"Herr Dr. Martin Walz
Chefarzt für Innere Medizin
martin.walz@kkh-freiberg.de
katja.uhle@vge-mittelsachsen.de Personal Herr Chefarzt Dr. Christoph Uhrlau
christoph.uhrlau@kkh-freiberg.de
Chefarzt für Anästhesiologie und Intensivmedizin
Personal
katja.uhle@vge-mittelsachsen.de chirurgie@kkh-freiberg.de
Dr. Meisel CA Allg und Viszeralch. Chefarzt Dr. med. Peik Mutze
Facharzt für Orthopädie und Unfallchirurgie
peik.mutze@kkh-freiberg.de
Personal
katja.uhle@vge-mittelsachsen.de    "
Landkreis Mittweida Krankenhaus,https://www.lmkgmbh.de/,https://www.lmkgmbh.de/karriere/jobboerse/jobs-im-klinikum-mittweida/aerztlicher-dienst,"Info:
Sehr geehrter Herr Fischer,
für die Allgemeinmedizin wünschen
wir uns förderfähige Kandidaten.
 Förderfähig sind nur Ärzte mit
deutscher Approbation
(Berufserlaubnis ist nicht ausreichend).
Herzlichen Gruß
Prof. Dr. Schickel Chefarzt der Abteilung
Herr Prof. Dr. med. Stephan Schickel
stephan.schickel@lmkgmbh.de
innere@lmkgmbh.de
Personalsachbearbeitung
Frau  Anne Glöckner
anne.gloeckner@lmkgmbh.de
personal@lmkgmbh.de Chefarzt der Abteilung,
Herr PD Dr. med. habil. Wolfgang Heinke
wolfgang.heinke@lmkgmbh.de
anaesthesie@lmkgmbh.de
personal@lmkgmbh.de     "
Klinik am Tharandter Wald,Jobs  | Klinik am Tharandter Wald - Hetzdorf (reha-hetzdorf.de),https://www.reha-hetzdorf.de/jobs/,"personal@reha-hetzdorf.de Leitender Chefarzt / Chefarzt Neurologie
Herr Dr. med. P. Themann
themann@reha-hetzdorf.de
Sekreteriat
ca-sek@reha-hetzdorf.de
Leiterin Personalabteilung: Ines Meyer
personal@reha-hetzdorf.de      "
HELIOS Klinikum Aue Postleitzahl 08280,https://www.helios-gesundheit.de/standorte-angebote/kliniken/aue/,Unsere Stellenangebote (helios-gesundheit.de),"ChefarztInnere Medizin I
Herr Dr. med. Thomas Ketteler
thomas.ketteler@helios-gesundheit.de
Frau Susann Blechschmidt
susann.blechschmidt@helios-gesundheit.de Herr Priv.-Doz. Dr. med. habil. Jan Wallenborn
jan.wallenborn@helios-gesundheit.de
Frau Susann Blechschmidt
susann.blechschmidt@helios-gesundheit.de Evgeniy Romanov
Chefarzt Klinik für Seelische Gesundheit
Evgeniy.Romanov@helios-gesundheit.de
susann.blechschmidt@helios-gesundheit.de     "
HELIOS Klinik Leisnig Postleitzahl 04703,https://www.helios-gesundheit.de/standorte-angebote/kliniken/leisnig/,https://www.helios-gesundheit.de/karriere/job-finden/?tx_heliosuwstemplates_jobsearch%5Btitle%5D=arzt&tx_heliosuwstemplates_jobsearch%5Blocation%5D=04289,"Chefarzt  Anästhesie
Dr. med. Jan-Jakob Meyer
jan-jakob.meyer@helios-gesundheit.de
Personalleitung Heidi Jung
heidi.jung@helios-gesundheit.de       "
