Klinik name,klinik website,Stellenlink,Kontak
KBO-Herrscherklinikum München,https://kbo-heckscher-klinikum.de/,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobLocation%3Akbo-Heckscher-Klinikum&tx_solr%5Bfilter%5D%5B1%5D=jobProfession%3AMedizin,       
Klinikum dritter Orden München Nymphenburg,https://www.dritter-orden.de/,https://www.dritter-orden.de/karriere/stellenanzeigen.php,       
Krankenhaus Barmherzige Brüder München,https://www.barmherzige-muenchen.de/index.html,https://karriere-barmherzige-muenchen.de/stellenangebote," Initiativbewerbung
Assistentin der Personalabteilung 
Marlene Newton
bewerbung@barmherzige-muenchen.de      "
Romed Klinik Prien,https://www.romed-kliniken.de/,https://romed-jobs.de/de/jobs," Chefarzt
 Medizinische Klinik 2
 Chefarzt Prof. Dr. med. Stefan von Delius
Stefan.vonDelius@ro-med.de
 Sekreteriat med2.ro@ro-med.de
 Personalabteilung personalabteilung@ro-med.de Ärztliche Leitung Internistische Intensivstation
 Dr. med. Katharina Lenherr
katharina.lenherr@ro-med.de
Sekreteriat internistische Intensivstation
intint.rosenheim@ro-med.de
Personalabteilung personalabteilung@ro-med.de Dr. Oliver Benetka, Chefarzt Innere Medizin
Chefsekretärin Michaela Fischer
innere.pri@ro-med.de
Personalabteilung personalabteilung@ro-med.de Dr. Stephan Mayer
Chefarzt Anästhesie
anaesthesie.pri@ro-med.de   "
Romed Klinik Wassserburg am Inn,https://www.romed-kliniken.de/de/wasserburg/die-klinik-im-ueberblick.htm,https://romed-jobs.de/de/jobs/," Ärztliche Leitung Internistische Intensivstation
 Dr. med. Katharina Lenherr
 Sekreteriat internistische Intensivstation
intint.rosenheim@ro-med.de
 Personalabteilung personalabteilung@ro-med.de Chefarzt
 Medizinische Klinik 2
 Chefarzt Prof. Dr. med. Stefan von Delius
Stefan.vonDelius@ro-med.de
 Personalabteilung personalabteilung@ro-med.de Chefarzt Klinik für Anästhesiologie
 Priv. Doz. Dr. med. Andreas Bauer
 Sekreteriat anaesthesie.ro@ro-med.de Prof. Dr. med. Kai Nowak
Chefarzt Allgemein-, Gefäß- und Thoraxchirurgie
Kai.nowak@ro-med.de
personalgewinnung@ro-med.de  Dr. med. Michael Bayeff-Filloff 
Chefarzt Zentrale Notaufnahme
michael.bayeff-filloff@ro-med.de
personalgewinnung@ro-med.de  "
KBO-Klinikum Salzach Rosenheim,https://kbo-isk.de/rosenheim,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobLocation%3Akbo-Inn-Salzach-Klinikum&tx_solr%5Bq%5D=," Chefärztin Bereich Regionalversorgung Frau Höfter 
Ruth.Hoefter@kbo.de      "
KBO-Klinikum Heckscher-Klinikum- Rosenheim,https://kbo-heckscher-klinikum.de/standorte/rosenheim,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobLocation%3Akbo-Heckscher-Klinikum,       
Schönklinik Roseneckhaus Rosenheim,https://www.schoen-klinik.de/roseneck/adresse,https://jobs.schoen-klinik.de/stellenangebote.html?filter[job_field_347][]=324&filter[job_field_310][]=214&_ga=2.146601012.1636351306.1636535343-934059360.1633522231, Prof. Dr. Rebecca Schennach rschennach@schoen-klinik.de/mgiehl@schoen-klinik.de Chefarzt Anästhesie      
Schön Klink Berchtesgadener Land,https://www.schoen-klinik.de/berchtesgadener-land,https://jobs.schoen-klinik.de/stellenangebote.html?filter[job_field_347][]=316&filter[job_field_310][]=214&_ga=2.44864804.1636351306.1636535343-934059360.1633522231," Chefarzt Psychosomatik
Dr. med. Robert Doerr
RDoerr@schoen-klinik.de YSuesskind@schoen-klinik.de Assistenz Pneumologie Chefarzt Prof. Dr. Rembert Koczulla
RKoczulla@schoen-klinik.de
CA-Sekretärin Daniela Pichler
dpichler@schoen-kliniken.de    "
Schön Klinik Vogtareuth,https://www.schoen-klinik.de/vogtareuth,https://www.schoen-klinik.de/vogtareuth/karriere," Chefarzt Anästhesie
 Dr. med. Peter Neubauer
pneubauer@schoen-klinik.de
Personalstelle
AJahn@Schoen-Klinik.de ist geblockt Prof. Dr. med. Klaus Jahn
Chefarztaib-neuro-chefarztsekretariat@schoen-klinik.de
Personalstelle
AJahn@Schoen-Klinik.de ist geblockt Dr. med. Markus Giehl
Leitender Arzt Anästhesie
AJahn@Schoen-Klinik.de ist geblockt Dr. Tim Clausnitzer
Chefarzt Herz- Gefäßchirurgie
vog.info@schoen-klinik.de
Personalstelle Anja Dieterle
VOG-Personalabteilung@schoen-klinik.de Prof. Dr. Rebecca Schennach
rschennach@schoen-klinik.de
Dr. med. Markus Giehl
Leitender Arzt Anästhesie
mgiehl@schoen-klinik.de
AJahn@Schoen-Klinik.de ist geblockt Dr. med. Thomas Herberhold
Chefarzt Neuropädiatrie
VOG-personalabteilung@schoen-klinik.de "
Schönklinik Roseneck-Priem am Chiemsee,https://www.schoen-klinik.de/roseneck,https://jobs.schoen-klinik.de/stellenangebote.html?search_mode=0&search_mode=job_filter_advanced&filter%5Bvolltext%5D=arzt&filter%5Bradius_search_range%5D=10&filter%5Bjob_field_310%5D%5B%5D=214&filter%5Bjob_field_347%5D%5B%5D=324," Prof. Dr. Rebecca Schennach
Leitende Oberärztin 
rschennach@schoen-klinik.d      "
Schön Klinik Bad Staffelstein,https://www.schoen-klinik.de/bad-staffelstein,https://jobs.schoen-klinik.de/stellenangebote.html?filter[job_field_347][]=318&filter[job_field_310][]=214&_ga=2.86442512.900444433.1639987303-927080728.1639033931,       
"Tagesklinik für KJP
Zentrum Kinder und Jugendliche Altötting",https://www.kinderzentrum.de/start/,https://www.kinderzentrum.de/start/organisation-und-struktur/stellenangebote-karriere/, tagesklinik@kinderzentrum.de Bewerbung an mail@kinderzentrum.de      
KBO-Klinikum-Inn-Salzach-Altötting,https://kbo-isk.de/standorte/altoetting,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobLocation%3Akbo-Inn-Salzach-Klinikum,       
KBO-Klinikum-Salzach Klinikum Freilassing,https://kbo-isk.de/klinik-freilassing,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobLocation%3Akbo-Inn-Salzach-Klinikum,       
Salus Gesundheitzentrum,https://www.salus-klinik.de/,https://www.salus-klinik.de/karriere/,       
CJD Berchtesgadener-Asthmazentrum,https://www.cjd-berchtesgaden.de/,https://www.cjd-berchtesgaden.de/karriere/aktuelle-stellenangebote/?filter=cjd_bayern,       
Kreisklinik Wolfratshausen,https://www.kreisklinik-wolfratshausen.de/,https://www.kreisklinik-wolfratshausen.de/karriere/index.php," Innere Medizin
 Chefarzt Dr. med. M. Trautnitz
 Sekreteriat innere Medizin
kklimpke@kreisklinik-wolfratshausen.de, Personalleitung: s.buchberger@asklepios.com Chefarzt Dr. med. Josef Orthuber
jorthuber@kreisklinik-wolfratshausen.de  Chefarzt der Chirurgischen Abteilung
Dr. Schmidbauer
sschmidbauer@kreisklinik-wolfratshausen.de
Personal
treichart@kreisklinik-wolfratshausen.de     "
Asklepios Stadtklinik Bad Tölz,https://www.asklepios.com/bad-toelz/,https://www.asklepios.com/bad-toelz/unternehmen/bewerber/stellangebote//," Innere Medizin 1
 Herr Chefarzt Prof. Dr. Hans Ulrich Kreider-Stempfle
 u.stempfle@asklepios.com
 Innere Medizin 2
 Herr Chefarzt Dr. Klaus Egger
 k.egger@asklepios.com
Personalleitung
Frau Sandra Buchberger
s.buchberger@asklepios.com Chefarzt Chirurgie
Dr. Stefan Rüth
s.rueth@asklepios.com
Personalleitung
s.buchberger@asklepios.com Herr Prof. Dr. Rüdiger Ilg
Chefarzt Neurologie/Neurorehabilitation
r.ilg@asklepios.com
Personalleitung
s.buchberger@asklepios.com    "
m&i-Fachklink Bad Heilbrunn,https://www.fachklinik-bad-heilbrunn.de/,https://fkh-enzensberg.career.softgarden.de/#jobs%3Acompany%253D%255B%2522m%2526i-Fachklinik%2520Bad%2520Heilbrunn%2522%255D%26category%253D%255B%2522%25C3%2584rzte%2522%255D," Kerstin Bliedung
bewerbung@fachklinik-bad-heilbrunn.de
Dr. med. Peter Bader Chefarzt Neurologie
neuro@fachklinik-bad-heilbrunn.de Kerstin Bliedung
bewerbung@fachklinik-bad-heilbrunn.de
Dr. Michael Fäßler, Chefarzt
michael.faessler@fachklinik-bad-heilbrunn.de personal@fachklinik-bad-heilbrunn.de Frau Heß    "
kbo-Heckscherklinikum Rottmannshöhe,https://kbo-heckscher-klinikum.de/rottmannshoehe,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobLocation%3Akbo-Heckscher-Klinikum,       
Helios Amper Klinikum Dachau,https://www.helios-gesundheit.de/standorte/dachau/,https://www.helios-gesundheit.de/karriere/job-finden/?tx_heliosuwstemplates_jobsearch%5Btitle%5D=assistenzarzt&tx_heliosuwstemplates_jobsearch%5Blocation%5D=85229&tx_heliosuwstemplates_jobsearch%5Bcategory%5D=1&tx_heliosuwstemplates_jobsearch%5Bpositions%5D%5B%5D=6," Dr. Christian Lechner (Chefarzt Neurologie)
Christian.Lechnerhelios-gesundheit.de  Hjalmar.Hagedorn[at]helios-gesundheit.de (chefarzt Anästhesie) Chefarzt der Chirurgischen Klinik und ärztlicher Direktor
 Herr Prof. Dr. Hans-Joachim Andress
Hans-Joachim. Andress@helios-gesundheit.de
info.muenchen-west@helios-gesundheit.de Prof. Dr. Hjalmar Hagedorn Ärztlicher Direktor
Hjalmar.Hagedorn@helios-gesundheit.de
info.dachau@helios-gesundheit.de Chefarzt der Gefäßchirurgie,
Herr Dr. Reza Ghotbi
reza.ghotbi@helios-gesundheit.de
info.muenchen-west@helios-gesundheit.de Chefarzt der Klinik
Herr Prof Dr. med. Axel Kleespies
axel.kleespies@helios-gesundheit.de
info.dachau@helios-gesundheit.de Prof. Dr. Norbert Grüner
Chefarzt Innere Medizin II
Norbert.Gruener@helios-gesundheit.de "
Helios Amper Klinik Indersdorf,https://www.helios-gesundheit.de/standorte/indersdorf/,https://www.helios-gesundheit.de/karriere/job-finden/?tx_heliosuwstemplates_jobsearch%5Btitle%5D=arzt&tx_heliosuwstemplates_jobsearch%5Blocation%5D=85229," Dr.Tudyka Chefarzt Innere  juergen.tudyka[at]helios-gesundheit.de Dr. med. B. Johnson, Chefarzt Innere Medizin III
bjoern.johnson@helios-gesundheit.de
Franziska MoserPersonalleitung
Franziska.Mosera@helios-gesundheit.de     "
kbo-Isar-Amper-Klinikum Dachau,https://kbo-iak.de/standorte/kbo-dachau,https://recruitingapp-5656.de.umantis.com/Jobs/1, Aerztliche-Direktion.IAK@kbo.de  Prof.Dr.Blieger      
Kreisklinik Ebersberg,https://www.klinik-ebe.de/,https://jobs.klinik-ebe.de/stellenangebote.html," Chefarzt für Gastroenterologie
 Prof. Dr. Thomas Bernatik
thomas.bernatik@klinik-ebe.de
PJ-Ansprechpartner in der Klinik
Tanja Hundschell
tanja.hundschell@klinik-ebe.de Chefarzt der Medizinischen Klinik II
 Prof. Dr. med. Martin Schmidt
 kardiologie@klinik-ebe.de
Personalleiter Herr  Martin Ellmaurer
martin.ellmaurer@klinik-ebe.de
Stellvertretende Personalleitung
karin.huber@klinik-ebe.de Chefarzt Anästhesie Dr. Peter Lemberger
peter.lemberger@klinik-ebe.de Chefarzt Prof. Dr. T. Bernatik Gastroenterologie
thomas.bernatik@klinik-ebe.de
Stellvertretende Personalleitung
karin.huber@klinik-ebe.de   "
kbo-Klinikum-Salzach Klinikum Ebersberg,https://kbo-isk.de/standorte/ebersberg,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobSiteCity%3AEbersberg, aerztlicher-direktor@klinik-ebe.de Herr Lemberger (Anästhesie)      
Klinik Eichstätt,https://www.kna-online.de/,https://www.mein-check-in.de/kna-online," Chefarzt Orthopädie & Unfallchirurgie
Prof. Dr. Gregor Voggenreiter
Sekreteriat ei.sekretariat.chirurgie@klinikallianz.com
Allgemein
kna.info@klinikallianz.com Sekreteriat innere Medizin
ei.sekretariat.innere@klinikallianz.com
Allgemein
kna.info@klinikallianz.com Claudia Plesnar, Chefärztin Viszeralchirurgie
ei.sekretariat.chirurgie@klinikallianz.com Chefarzt der Medizinischen Klinik I
Joachim Christ
Sekreteriat
ei.sekretariat.innere@klinikallianz.com
Allgemein
kna.info@klinikallianz.com   "
Klinik Kösching,https://www.kna-online.de/,https://www.mein-check-in.de/kna-online," Sekreteriat ei.sekretariat.chirurgie@klinikallianz.com Chefärztin Kösching Dr. med. Christine Braun
martina.platzer@klinikallianz.com
Sekreteriat
ko.sekretariat.innere@klinikallianz.com    Chefarzt Orthopädie & Unfallchirurgie
Prof. Dr. Gregor Voggenreiter    "
Vamed Klinik Kipfenberg,https://www.vamed-gesundheit.de/reha/kipfenberg/,https://www.vamed-gesundheit.de/reha/kipfenberg/unsere-klinik/karriere/stellenangebote/?tx_heliosuwsjoboffers_joboffers%5Bclinic%5D=120&tx_heliosuwsjoboffers_joboffers%5Bareas%5D=1&tx_heliosuwsjoboffers_joboffers%5Bsearch%5D=, dennis.nowak@vamed-gesundheit.de      
Tagesklinik Psychiatrie Eichstätt,Klinik im Bau,,       
Klinikum Landkreis Erding,https://www.klinikum-erding.de/de/home.html,https://www.mein-check-in.de/klinikum-erding/overview," Chefarzt Herr PD Dr. med. Thomas Edrich
thomas.edrich@klinikum-erding.de
Kristina Scheibe
bewerbung@klinikum-erding.de Sekretariat des Ärztlichen Direktors und Chefarztes
PD Dr. Lorenz Bott-Flügel
info@klinikum-erding.de
herzkatheter@klinikum-erding.de
Kristina Scheibe
bewerbung@klinikum-erding.de Chefarzt Herr Dr. med. M. Sadeghi 
sekretariat.gefaesschirurgie@klinikum-erding.de
bewerbung@klinikum-erding.de    "
Klinikum Landkreis Erding Aussenstelle Dorfen,https://www.klinikum-erding.de/de/pflege-dorfen.html,https://www.mein-check-in.de/klinikum-erding/overview,"  Chefarzt Herr Prof. Dr. Konrad
 sekretariat.unfallchirurgie
@klinikum-erding.de
bewerbung@klinikum-erding.de"" Chefarzt Herr Dr. med. M. Sadegh
sekretariat.gefaesschirurgie@klinikum-erding.de
bewerbung@klinikum-erding.de    "
Klinik Wartenberg,https://www.klinik-wartenberg.de/,https://www.mein-check-in.de/klinik-familie/overview," Christine Kohlschütter
 Personalleiterin
 c.kohlschuetter@klinik-wartenberg.de
 Chefarzt Frau Dr. Rupp
 s.rupp@klinik-wartenberg.de
Dr. Becher
 k.becher@klinik-wartenberg.de      "
kbo-Isar-Klinik PSY Erding,https://kbo-iak.de/,https://recruitingapp-5656.de.umantis.com/Jobs/1," Dr. med. Bertram Schneeweiss
bertram.schneeweiss@kbo.de
Sekretriat Chefarzt
angelika.luber@kbo.de
Personalstelle
bewerbung.iak-tfk@kbo.de      "
Klinikum Freising,https://www.klinikum-freising.de/,https://www.mein-check-in.de/klinikum-freising/overview," Chefarzt der Abteilung für Anästhesie u. Intensivmedizin
Herr PD Dr. Christoph Metz
Sekretariat Anästhesiologie und Intensivtherapie
anaesthesie@klinikum-freising.de Chefarzt der Abteilung,
Herrn Dr. med. Roland Brückl
kardiologieqklinikum-freising.de
Leitung Personal Frau Doreen Schubert
personal@klinikum-freising.de Herr Dr. Thomas Marx
marxt@klinikum-freising.de
personal@klinikum-freising.de Chefarzt Herr Prof. Ewert Schulte-Frohlinde
e.schulte-frohlinde@klinikum-freising.de
Sekretariat Frau Baumer
gastroenterologie@klinikum-freising.de 
personal@klinikum-freising.de Chefärztin Wirbelsäulenchirurgie und Neurotraumatologie
Frau Dr. med. Kristin Zinner 
Sekretariat Petra Lutz
wirbelsaeulenchirurgie@klinikum-freising.de 
Personalsachbearbeiterin
Frau Stefanie Bischof
personal@klinikum-freising.de  "
KBO Isar Amper Klinikum Freising,https://kbo-iak.de/standorte/kbo-tagesklinik-ambulanz-psychiatrie-psychotherapie-freising,https://recruitingapp-5656.de.umantis.com/Jobs/1,       
Klinikum Fürstenfeldbruck,https://www.klinikum-ffb.de/,https://www.klinikum-ffb.de/ausbildung-karriere/stellenangebote/," Chefarzt Kardiologie-Pneumologie Herr Dr. Kolbe
Personalabteilung Frau Sonja Engel-Gittfried
karriere@klinikum-ffb.de Chefarzt der Kardiologie-Pneumologie Dr. Kolbe
Sekreteriat Johanna Rieger
Johanna.Rieger@klinikum-ffb.de
karriere@klinikum-ffb.de     "
kbo-Isar-Amper-Klinikum Fürstenfeldbruck,https://kbo-iak.de/index.php?fs=0,https://recruitingapp-5656.de.umantis.com/Jobs/1,       
Klinikum Garmisch-Partenkirchen,https://www.klinikum-gap.de/,https://karriere.klinikum-gap.de/offene-stellen," Prof. Dr. Hans-Dieter Allescher
'hans.allescher@klinikum-gap.de'
 Sekreteriat Allgemein bewerbung@klinikum-gap.de
  Sekretariat Sandra Bellina
zentrum.innere@klinikum-gap.de PD Dr. Holger Vogelsang
Chefarzt Allgemeinchirurgie
holger.vogelsang (at) klinikum-gap.de
bewerbung@klinikum-gap.de Dr. Till Seiler
Chefarzt
till.seiler@klinikum-gap.de
zentrum.innere@klinikum-gap.de
bewerbung@klinikum-gap.de    "
Deutsches Zentrum Kinder- und Jugendrheumatologie,https://www.rheuma-kinderklinik.de/rheuma-zentrum,, evanggelou.georgiar@heuma-kinderklinik.de Personalreferentin wilde.eva@rheuma-kinderklinik.de Personal karriere@rheuma-kinderklinik.de      
Klinikum garmischpartenkirchen Aussestelle Murnau,https://www.klinikum-gap.de/standorte/murnau,https://karriere.klinikum-gap.de/offene-stellen, bewerbung@klinikum-gap.de      
Klinik Oberammergau Zentrum für Rheumatologie,Klinik Oberammergau,https://www.klinik-oberammergau.de/168-offene-stellen-die-klinik-oberammergau-ein-attraktiver-arbeitgeber.html,       
Klinik Hochried,https://www.klinikhochried.de/de/,https://klinikhochried.softgarden.io/de/vacancies," Herr Dr. med. Frank Beer
frank.beer@klinikhochried.de
 Personalverwaltung                                 
Franziska  Arends
personal@klinikhochried.de      "
Klinikum Landsberg Lech,https://www.klinikum-landsberg.de/,https://www.klinikum-landsberg.de/offene-stellen/,       
Psychosomatische Klinik Windach,https://klinik-windach.de/,https://klinik-windach.de/unsere-klinik/stellenangebote/,       
kboLechmangfall-Klinik Garmisch-Partenkirchen,kbo-Lech-Mangfall-Klinik Garmisch-Partenkirchen,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobLocation%3Akbo-Lech-Mangfall-Kliniken," Bewerbungen.lmk@kbo.de
PD Dr. med. Florian Seemüller, Chefarzt 
florian.seemueller@kbo.de
Sekretariat.LMK-GAP@kbo.de  Bewerbungen.LMK(at)kbo.de      "
KBO Heckscher Klinikum Ingolstadt Psychiatrie,https://kbo-heckscher-klinikum.de/standorte/ingolstadt,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobLocation%3Akbo-Heckscher-Klinikum&tx_solr%5Bfilter%5D%5B1%5D=jobProfession%3AMedizin,       
kbo-Heckscher-Klinikum Haar,https://kbo-heckscher-klinikum.de/standorte/haar,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobProfession%3AMedizin," Keine Mails an senden:
Personal Jens Benninghoff
jens.benninghoff@kbo.de      "
KBO-Isar-Amper Klinik Taufkirchen,https://kbo-iak.de/,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobProfession%3AMedizin," Herr Dr. Bertram Schneeweiß Chefarzt
Ansprechen nur über:
 sekretariat-ap.iak-tfk@kbo.de Dr. Tobias Skuban-Eiseler Prof. Dr. Martin Marziniak
Neurologie-sekretariat.iak-kmo@kbo.de    "
